Cocktail,Ingredients,Preparation,Bar/Company,Location
Peter Pumpkin," Junipero Gin,  Orange Liquor, House-made Spiced Pumpkin Puree,  Lemon Juice,  Ginger Syrup, 1  Egg White,  top Apple Cider","Combine all ingredients in a shaker, except the apple cider. Shake vigorously. Strain over ice. Top with apple cider. Garnish with shaved cinnamon and nutmeg.",La Mar Cebicheria Peruana,San Francisco
A Botanical Garden," Hophead Vodka,  Zirbenz Stone Pine,  Fresh Strawberry Juice w/ Xanthan Gum*,  Lemon Juice,  Simple Syrup","Combine all ingredients in a shaking tin and give it a short shake, five seconds. Strain into an old fashined glass with three medium sized ice cubes.",Alembic,San Francisco
The Bossa Nova," Chinaco Blanco Tequila,  Lemon Juice,  Small Hand Foods Pineapple Gum Syrup,  Vanilla Syrup*,  Coconut Cream**,  Egg White","Combine all ingredients in a shaking tin or mixing glass and vigorously shake without ice for 10 seconds. Add ice, and shake for another 8 seconds. Strain over larger ice cube or into a cocktail glass and add freshly grated cinnamon on top.  *Vanilla Syrup:  Split 1 vanilla pod lengthwise and scrape interior into a heavy sauce pan.  Add 2 c. raw sugar and 2 c. water. Bring to a simmer and reduce heat to low.  Cook for 5 mins and stir occasionally.  Remove from heat and keep unstrained for 24 hrs.  Strain through a cheese cloth and bottle. Keeps for 2 weeks.  **Coconut Cream: Combine 1 part Coco Lopez with 1 part rich coconut milk. Mix well.",Lolinda,San Francisco
The Monte Rua," Ca' Secco Sparkling, Luxardo Cherry Syrup",Combine all ingredients in a sparkling wine glass.,,
See ya Amaro!," H by HINE,  Luxardo Amaro Abano,  Luxardo Apricot Liqueur,  Luxardo Amaretto di Saschira,  Luxardo Maraschino Liqueur,  Perfect Puree Apricot*,  Lemon Juice",Combine all ingredients in a tall glass.,,
Rose Sangria," Pink Pigeon Rum,  Fresh Lemon Juice,  Honey Syrup (1:1 honey & water), Pomegranate Juice, Rose Wine,   Cinnamon, grated,   Nutmeg, grated,   Cherries,   Strawberries,   Watermelon, cube","Combine all ingredients in a wine glass, stir to mix. Add ice and enjoy.   Convert ounces to cups to make a larger pitcher for you and your guests.",,
White Tie," Luxardo Bitter Bianco, No.3 London Dry Gin, Orange Bitters, Luxardo Maraschino Liqueur",Combine all ingredients in mixing glass with ice and stir. Strain into chilled cocktail coupe or Nick & Nora. Expel lemon peel over cocktail then place in glass.,,Houston
The Italian Diplomat," Luxardo Bitter Bianco, BarSol Primero Quebranta Pisco,  Bay Leaf Syrup*, Salt Tincture**","Combine all ingredients in mixing glass. Stir and strain into Nick & Nora cocktail glass. Garnish with lemon zest and yerba mate tea sachet.  *Bay Leaf Syrup: -- 16 oz Water -- 12 Bay Leaves -- 1.5 C White Sugar  Bring water to boil with bay leaves. Lower heat to medium and simmer 15-20 mins. Stir in white sugar until dissolved, without bringing to a boil again. Remove from heat, let cool at room temperature. Remove bay leaves and enjoy.  **Salt Tincture: -- .5 C Salt -- 1 C Water -- 2 C 100p Vodka  Stir salt with water and vodka. Stir until dissolved. Strain out extra salt, if any.",,Houston
Bunny Poison," Rhubarb Cucumber & Mint-Infused Junipero Gin,  Lemon Juice,  Tempus Fugit Alessio Vermouth Bianco,  Rhubarb Juice,  Grapefruit Juice,  Rhubarb Syrup, Fee Brothers Celery Bitters","Combine all ingredients in Perlini sparkling cocktail shaker, shake and double strain into cocktail glass. (For home use, combine all ingredients, add ice shake 30 seconds and double strain into coupe, add splash of soda water.) Spray with atomized Old Tom Gin. Garnish with cucumber peel or candied rhubarb slice.  *Rhubarb Cucumber & Mint-Infused Junipero Gin: -- 1 bottle Junipero Gin -- 1 qt Chopped Rhubarb -- 1 Chopped Large English Cucumber -- .5 Bunch (15g) Fresh Mint (with stems)  Combine all ingredients in vacuum sealed bag and circulate at 53º for 2 hours. (For home use, combine all ingredients in plastic container and let rest for one week.)  *Rhubarb Syrup: Juice 1 qt (8-10 Stalks) Add to 1 qt of unbleached Cane sugar in saucepan and bring to simmer. Remove from heat, allow to cool and strain in Chinoise.",Alta CA,San Francisco
See You T'Amaro," Luxardo Amaro Abano,  Lemon juice,  Simple syrup,  Egg white, Fee Bros Rhubarb bitters","Combine all ingredients in shaker. Dry shake for 10 seconds, add ice and shake for 30 seconds. Strain into small tumbler. Garnish with a sprinkle of grated nutmeg.",,San Francisco
Cut To The Chase," J.H. Cutter Whisky,  Averna Amaro,  Alvear PX Sherry, Angostura Bitters",Combine all ingredients in to a mixing glass and add ice.  Stir for about 10-15 seconds.  Strain in to a cocktail coupe or a glass of your choosing.  Garnish with an orange twist expressed over the top of the drink.,,
The Lover's Quarrel ," No.3 London Dry Gin, Maurin Quina,  King's Ginger Liqueur,  Honey Jalapeño syrup, Orange juice,  Lemon juice, Soda water",Combine all ingredients into a large punch bowl and add large ice cube/cubes. Garnish liberally with slice fruits.,Rickhouse,San Francisco
Hophead Dirty Martini," Hophead Vodka,  Olive Juice, Dry Vermouth",Combine all ingredients into a mixing glass and add ice. Shake and strain into a martini glass. Garnish with an olive.,,
Newton's Theory," Nikka Whisky Taketsuru Pure Malt 12 YO,  C. Drouin Pommeau de Normandie,  Luxardo Maraschino Liqueur, Black Walnut Bitters","Combine all ingredients into a mixing glass and add ice. Stir for about 10 seconds and then strain into a chilled cocktail coupe. Garnish with skewered apple spheres and be thankful you're having a cocktail, and not having an apple shot off your head.",Fifth Floor,San Francisco
West Coast Vesper," Hophead Vodka, Junipero Gin,  Maurin Quina",Combine all ingredients into a mixing glass and add ice. Stir until proper dilution and strain into a chilled coupe. Garnish with an orange peel.,,
Hophead Old Fashioned," Hophead Vodka,  Simple syrup, Angostura bitters, Fee Brothers Gin Barrel Aged Bitters",Combine all ingredients into a mixing glass and stir until proper dilution. Strain into a chilled bucket glass over a large ice cube and garnish with a dukes lemon and dukes grapefruit zest. ,,San Francisco
Bacio Romana," Luxardo Bitter Bianco,  BarSol Pisco,  Luxardo Maraschino Liqueur,  Dry Vermouth",Combine all ingredients into mixing glass. Add ice. Stir until very cold. Strain and fine strain to prevent ice chips in coupe glass. Garnish with orange twist entwined around a cinnamon stick.,,Houston
3 Degrees," No.3 London Dry Gin,  Velvet Falernum,  Lime juice,  Pear Sage Foam, Prosecco","Combine all ingredients with ice, shake, strain into martini glass, top with prosecco, garnish with sage.",,
Jack Cherry Sour (2001 Remix)," Jack Daniel's,  Luxardo Sangue Morlacco Cherry Liqueur, Fresh Lemon Juice,  Cane Sugar Syrup*, Angostura Orange Bitters","Combine all ingredients, add ice, and shake. Double strain into an old fashioned glass and add fresh ice. Garnish with an orange slice (1/4 wheel) and Luxardo Cherry (both speared).  *0.25 - 0.50 oz Cane Sugar Syrup (to taste to allow variations in citrus flavor when batching)",Unlimited Liabilities,
Spring Forward," Old Tom Gin,  Noilly Prat Ambre Vermouth,  Pineapple Juice,  Lime Juice,  Rich Simple (2:1),  Dry Sparkling Wine","Combine all ingredients, minus the sparkling wine, into a tin. Shake and double strain into a flute glass. Top with a float of sparkling wine. Garnish with an edible flower petal.",Trick Dog,San Francisco
Three Flips," No.3 London Dry Gin, Averna,  Honey, 1 whole Egg","Combine all ingredients, shake for 20 seconds. Add ice and shake again. Strain into a snifter. Garnish with shaved nutmeg.",,
Buenaventura," BarSol Primero Quebranta Pisco,  El Tesoro Reposado Tequila,  Grüner Veltliner,  Lime,  Pineapple Gum, Sweet Marmalade",Combine all ingredients. Shake and strain into cocktail glass. Garnish with an orange peel.,Stookey's Club Moderne,San Francisco
Nieux Carré," Karlsson's Gold Vodka,  Gran Duque d Alba Solera gran Reserva brandy,  Carpano Antica Vermouth,  Benedictine, 1 tincture Peychaud's Bitters, 1 tincture Angostura bitters",Combine all liquid ingredients in a chilled mixing glass with cracked ice and stir for 20 seconds. Double strain the cocktail over a large cube placed in an old-fashioned glass. Garnish with a lemon twist making sure to release all the essential oils out of the twist. Also make sure to rub the entire rim of the glass with the twist before dropping it into the cocktail.,,
L.E.S. Is More," Karlsson's Gold Vodka,  Esprit de June,  Fresh lemon juice,  Simple syrup",Combine all liquid ingredients in a highball or Collins glass with ice. Stir lightly and garnish with a lemon twist making sure to release all the essential oils out of the twist. Also make sure to rub the entire rim of the glass with the twist before dropping it into the cocktail.,,
La Perle de Verre," Luxardo Bitter Bianco, Citadelle Gin, Orange Bitters,  Rose Poached Pear Syrup*, Topo Chico Mineral Water, Fever-Tree Sparkling Lemon","Combine all liquids with exception of sodas, sir together. Strain into collins glass with singular large cube. Top with sodas. Garnish with sliver of poached pear from syrup (kept chilled).  *Rose Poached Pear Syrup: -- 1.5 C Rose (La Vielle Ferme or similar) -- 1.5 C Water  -- 2 C Sugar -- 1 Large Lemon -- 1 Half Orange -- 1 tsp Ground Ginger (not fresh) -- 1 tsp Vanilla -- 3-5 Whole Cloves  Combine Rose (La Vielle Ferme or similar), water, and sugar. Bring to a simmer. Add zest of lemon and an orange, ground ginger, vanilla, and cloves. Peel and halve pears, set gently into liquid. Keep just under a simmer for 15 mins. Remove from heat, let cool at least 20 mins. Pears will keep for 3 days refrigerated in syrup. The syrup itself will last longer.",,Houston
A Tall Tell," C. Drouin Calvados Selection, Marrakesh Mint Tea, Prosecco, King's Ginger Liqueur, Lemon Juice, Velvet Falernum,  Dale DeGroff's Pimento Aromatic Bitters",Combine all the ingredients except Prosecco. Add a large block of ice or large ice cubes and stir. Top with Prosecco. Garnish with orange wheels studded with cloves and float some mint sprigs in the bowl.,Dirty Habit,San Francisco
Cut and Run," J.H. Cutter Whisky,  Moroccan Mint Tea (chilled)*,  The King's Ginger,  Lemon Juice,  Rich Honey Syrup**","Combine all the ingredients in a mixing glass and stir for about 10 seconds. Strain in to an Old Fashioned glass or glass of your choosing. Add large ice cubes. Garnish with a lemon wheel, mint sprigs and a blackberry.  *Moroccan Mint Tea (Numi Tea Brand): -- 1 Moroccan Mint Tea Bag -- 8 oz. Boiling Water   Combine the tea bag and the boiling water in a cup or a pot. Let steep for 5 minutes. Remove the tea bag and place the tea in the fridge to cool. Label and date the container. Will keep for 1 week.  **Rich Honey Syrup: -- 10 oz. Honey -- 5 oz. Hot Water  Combine both ingredients together in a container and stir until fully incorporated. Label and date the container. Will keep in the fridge for 2 weeks.",,
The Stand By," Junipero Gin,  Luxardo Bitter, Kalani Coconut Liqueur, Angostura Bitters, Peychaud's Bitters",Combine all the ingredients in an old-fashioned glass. Stir on the rocks. Garnish with lemon peel.,Rye,San Francisco
Second City Sour," Hirsch Small Batch Reserve Bourbon, Fresh Lemon Juice,  Orange-scented Maple Syrup*, Tempus Fugit Alessio Vermouth di Torino Rosso","Combine bourbon, lemon juice, and syrup in a shaker and add cold ice. Shake until chilled well (10-30 sec. depending on the quality of the ice). Strain into a collins glass and slowly pour the vermouth into the glass. Garnish with a lemon twist.   *Orange-scented Maple Syrup: combine 6 oz. of grade B maple syrup, 6 oz. filtered water and the peel of 1 orange, with a minimum amount of pith in a non-reactive pan.  Simmer for 10 mins. Remove from heat and allow it to cool to room temp. before using.  Syrup will keep for 1 month if refrigerated.",Park Tavern,San Francisco
California's Callin'," Junipero Gin,  Luxardo Maraschino Liqueur, Grapefruit Juice,  Lemon Juice, Tempus Fugit Abbott's Bitters,  to fill Anchor California Lager","Combine Gin, Maraschino, juices, and bitters in an ice-filled mixing tin and shake for 20-30 seconds, or until well chilled. Strain over fresh ice into a Collins glass, top with the California Lager, and garnish with the grapefruit peel.",,
End of Winter," H by HINE (Brown Butter-Infused), King's Ginger Liqueur, Fee Brothers Black Walnut Bitters","Combine H by HINE, King's Ginger Liqueur, and bitters over ice in a mixing glass. Stir until you reach proper dilution(15-20 seconds). Strain over a large ice rock in a bucket glass and garnish with Luxardo Cherries.",,San Francisco
Hopped-Up Mule," Hophead Vodka,  King's Ginger Liqueur,  Lime Juice,  top Ginger Beer","Combine Hophead Vodka, Kings Ginger, and lime juice in a Collins glass and fill with ice. Top with ginger beer. Stir. Garnish with a lime wheel.",,
Bay City Shandy," Hophead Vodka,  Giffard Pamplemousse,  Lemon Juice, Orange Bitters,  top IPA","Combine Hophead, lemon juice, Giffard Pamplemousse, honey syrup, and bitters in a shaker. Add ice and shake vigorously. Strain into a chilled glass. Fill the glass with beer.",The Gladly,Phoenix
San Fran Shandy," Hophead Vodka,  King's Ginger Liqueur, Breckle's Brown Ale, Fresh Lemon Juice,  Honey Syrup,  Egg White, Angostura Bitters","Combine Hophead, lemon juice, King's Ginger, honey syrup, egg white, and bitters in a shaker and dry shake to emulsify egg whites. Add ice and shake vigorously until proper dilution. Strain into a chilled fizz glass. Empty ice out of shakers and fill shaker with ale to create a froth. Pour this froth over the drink and garnish with half an orange wheel. 	 ",,San Francisco
West Bank," HINE Rare VSOP,  Cynar,  Bywater Spice Mix*, Cold-Brew Coffee","Combine ingredients and shake with ice. Strain into a rocks glass over fresh ice. Grate nutmeg on top.  *Bywater Spice Mix: Simple syrup infused with Vietnamese cinnamon, licorice root, and clove",The Bywater,Los Gatos
Hotaling White Manhattan," Christmas Spirit, Tempus Fugit Alessio Vermouth Bianco,  Luxardo Triplum (Triple Sec), Fee Brother's Orange Bitters",Combine ingredients in a mixing glass and stir with ice. Strain and serve up with an orange twist.,,San Francisco
Coffey Grain Manhattan," Nikka Coffey Grain Whisky, Tempus Fugit Alessio Vermouth di Torino Rosso, Tempus Fugit Abbott's Bitters",Combine ingredients in a mixing glass with ice and stir. Strain into a coupe glass and garnish with a flamed orange peel.,,
Shadowcat," Luxardo Bitter Bianco, Barr Hill Gin,  Falernum, Topo Chico Mineral Water, Lemon Bitters","Combine ingredients in a pint glass, stir with ice to chill. Double strain into a coupe glass. Garnish with mint and lemon wedge flag.",,Houston
San Francisco Harvest," Junipero Gin,  Oloroso Sherry,  Lemon Juice,  Winter Spice Brown Sugar Syrup*, Pineapple Juice",Combine ingredients in a shaker with ice. Shake and double strain into a coupe glass. Garnish with nutmeg.  *Winter Spice Brown Sugar Syrup:  -- 2 qt Brown Sugar -- 2 qt Water -- 3 Tbsp Ground Ginger -- 3 Tbsp Ground Nutmeg -- 1 Tbsp Clove  Heat and simmer the below ingredients in a medium pot for 15 minutes. Strain with cheesecloth.,Whitechapel,San Francisco
Negroni D'Amore," Old Tom Gin, Barolo Chinato, Tempus Fugit Kina L'Aero d'Or","Combine ingredients in an old fashioned glass filled with ice, stir to combine, and garnish with orange peel.",,
Radice Amara," Luxardo Bitter Bianco, Reisetbauer Carrot Eau De Vie,  Genevieve Gin","Combine ingredients in mixing glass, and stir with ice to dilution. Strain into a coupe cocktail glass. Garnish with a trimmed carrot ribbon.",,Houston
Don't Rock the Boat Punch," No.3 London Dry Gin, Rooibus Tea (steeped and cooled), Mulled Cider (cooled),  Clover Honey Syrup,  Cava,   Angostura","Combine ingredients into a chilled punch bowl, ice and dilute appropriately, garnish seasonally.",Eastern Standard,Boston
Miyagikyo Kick," Nikka Whisky Miyagikyo Single Malt 12 YO,  Rare Wine Co. Charleston Sercial Madeira,  Fresh lime juice,  Small Hands Food orgeat",Combine ingredients into a cocktail shaker.  Shake with ice vigorously for 10-15 seconds.  Strain into a chilled coupe glass. No garnish.,,
King's Toddy," No.3 London Dry Gin,  Lemon Juice,  King's Ginger Liqueur,  Clover Honey Syrup","Combine ingredients into a hot mug, top with hot water and garnish with a rough orange twist.",,San Francisco
Picadilly," No.3 London Dry Gin,  Pimms, Luxardo Amaretto di Saschira, Fresh lime juice,  Simple syrup, 5 leaves Basil leaves","Combine ingredients into a mixing glass, add ice and shake until properly diluted. Double strain into a glass over fresh ice, garnish with a cucumber wheel.",,
Elgin Elixir," BenRiach Single Malt 12 YO, C. Drouin Calvados Selection, Luxardo Aperitivo",Combine ingredients with ice in a mixing glass and stir. Strain over a large cube in a rocks glass and garnish with an orange peel.,,San Francisco
The Canevari Cocktail," Old Tom Gin, Cocchi Vermouth di Torino,  Luxardo Bitter, Angostura Bitters","Combine ingredients, stir until well chilled, and strain in to a cocktail glass. Serve with an orange twist.",Bryant's Cocktail Lounge,Milwaukee
Erasmus' Revenge," Junipero Gin,  Carpano Antica, Calisaya, The Bitter Truth Grapefruit Bitters",Combine ingredients. Pour over big cube and stir. Add the grapefruit peel.,,
The Sparkler," Luxardo Bitter Bianco,  Dolin Blanc, Prosecco",Combine Luxardo Bitters and Dolin Blanc. Stir in mixing glass until chilled. Strain into flute. Top with prosecco. Zest with grapefruit. Garnish with long grapefruit zest.,,Houston
Shroud of the Inca," Luxardo Bitter Bianco,  Castilian Tincture*,  BarSol Supremo Moste Verde Italia Pisco, Prosecco","Combine Luxardo, BarSol, and tincture. Ice, stir, and strain into chilled coupe. Top with Prosecco. Gently set candied blood orange wheel (thinly sliced) garnish into drink and serve.  *Castillian Tincture: -- 750 ml Luxardo Grappa Euganea -- 20 g Sliced Blanched Almond -- 2 g Spanish Saffron -- 3 Sliced Madagascan Vanilla Beans -- 3 g Toasted Green Cardamom -- 4 Lemon Peels (pith removed) -- 2 Quartered Dried Pajarero Figs -- 2 Quartered Quartered Medjool Dates  Combine all ingredients, gently agitate twice daily for 14 days. Fine filter and store.  **Candied Blood Orange Wheels: -- 1 Blood Orange (sliced thin - approx. 10 slices/orange) -- .5 c Natural Sugar -- .25 c Water -- 2 Tbsp Corn Syrup  Combine sugar, water, and corn syrup in shallow saucepan. Slow simmer on low heat approx. 10 min. When thickened mixture begins to cling to sides of pan, add orange slices. Allow to simmer for 5 more min. and remove from hardening syrup. Place slices on parchment-lined oven rack. Air dry overnight, then bake 10 min. at 400°F (or dehydrate them).",,Houston
New Beginnings," Luxardo Bitter Bianco,  Avua Cachaca Prata,  Broker's London Dry Gin,  Coconut Water, Toasted Coconut Tincture*, Almond Extract,  top Fever-Tree Mediterranean Tonic Water","Combine Luxardo, cachaca, gin, coconut water, tincture and almond extract in a yari (mixing glass). Add ice. Stir for proper dilution (30-40 revolutions). Pour in collins glass over a clarified ice sphere. Top cocktail with Fever-Tree. Add 3 almond slices for garnish.  *Toasted Coconut Tincture: -- 4 oz (by weight) Semisweet Coconut Flakes -- High-Proof Neutral Grain Spirit (preferably Everclear)  Lightly toast semisweet coconut flakes. Put in a small mason jar. Fill jar with high-proof neutral grain spirit. Let sit for 3 days then strain off.",,Houston
Fuji-La," Luxardo Bitter Bianco, Junipero Gin, Apple Water*, Citric Acid Solution**","Combine Luxardo, gin, apple water and citric acid solution into a shaker tin and shake to chill. Double strain into a coupe glass and garnish with a slice of Fuji apple lightly dusted with cinnamon.  *Apple Water: -- 1 Fuji Apple -- 2 c Water  Slice Fuji apple and combine with water. Vacuum seal and place in a sous-vide for 3-4 hrs at 130°F. Strain apples; water is ready for use.  **Citric Acid Solution: -- 1 ml gram Citric Acid -- 3 ml Water  Combine citric acid and water. Stir until dissolved.",,Houston
The Cliffdiver," D'aristi 10 YR Rum,  The Genuine Curacao Liqueur Blue,  Tempus Fugit Liqueur de Violettes, Lime Juice,  Tahitian Vanilla Bean Syrup, Ginger Beer, Angostura Bitters","Combine rum, curacao, violettes, and lime juice in a shaker, add ice and shake vigorously. Double strain into a chilled collins glass. Add fresh ice in the collins glass and top with chilled ginger beer. Float 2-3 dashes of Angostura Bitters on top and garnish with a grilled pineapple wedge on rim of glass, and two Luxardo Cherries speared through a toothpick, and edible orchid placed on top hanging from the rim.",,
Irish Goodbye," Nikka Coffey Grain Whisky,  Absinthe, Hot coffee, Homemade Irish Cream",Combine the coffee and whiskey in a preheated cup. Top with Irish cream and pour the absinthe over the back of a spoon to float. Garnish. ,,Washington DC
Beachcomber," Light Rum,   Cointreau,  Lime Juice,  Luxardo Maraschino Liqueur,  Simple Syrup (optional)",Combine the ingredients in a Boston shaker or cocktail shaker. Add ice and shake vigorously for 10 seconds. Strain the contents into a chilled cocktail glass.,,
Old Tom and The Sea," Old Tom Gin, Tempus Fugit Alessio Vermouth Bianco,  Luxardo Sangue Morlacco Cherry Liqueur,  Lemon Juice",Combine the ingredients. Shake and strain over ice. Lemon and/or cherry flag garnish.  Add soda water if you'd like to water it down.,,
Salty Swede," Karlsson's Gold Vodka, Fresh grapefruit juice, Club soda, 1 tincture Grapefruit bitters",Combine the Karlsson's Gold Vodka and grapefruit in a shaker with ice. Shake for 15 seconds and strain over fresh ice in an old-fashioned glass that has a salted rim. Top the cocktail with the club soda.,,
The Last Tango," Junipero Gin, Giffard Elderflower Liqueur, Lime Juice, Chili Tincture*, 6  Luxardo Maraschino Cherries","Combine the lime, elderflower, tincture and cherries into a shaker tin. Muddle the cherries and then add the Junipero Gin. Shake with ice. Double strain into a chilled cocktail glass. Garnish with a lime wheel.  *Chili Tincture: -- Chiles (Habaneros or Bird’s eye Chiles recommended) -- Grain Alcohol or Vodka  Fill a small jar with stemmed hot chili peppers and cover with grain alcohol or high-proof vodka. Let soak for 3 days; strain.",Trick Dog,San Francisco
Pink & Black," Pink Pigeon Rum, Coca-Cola,  Lime Juice","Combine the Pink Pigeon, the cola, and the lime juice, in a tall Collins glass full of ice cubes.",,
Pink & Ginger," Pink Pigeon Rum, Ginger Beer,  Lime Juice","Combine the Pink Pigeon, the ginger beer, and the lime juice, in a tall Collins glass full of ice cubes.",,
A Regal Air ," Domingo Perez Marin 'la Guita' Manzanilla Sherry,  King's Ginger Liqueur,  Chartreuse ,  Juice of an Orange",Combine these ingredients and roll gently over ice and strain into a martini glass. Top with pumpkin foam.,One Sixty Blue,"Chicago, Ill"
King's Mule," Absolut Vodka,  King's Ginger Liqueur, Fresh Lemon Juice , Ginger-Cinnamon Syrup*, Bar Keep Lavender Spice Bitters,  top Club Soda","Combine vodka, ginger liqueur, lemon juice, ginger-cinnamon syrup and bitters in tins with ice and shake. Double strain into collins glass over fresh ice and top with club soda.  *Ginger-Cinnamon Syrup:  Equal parts demerara sugar, clover honey, fresh ginger juice, water. Combine demerara sugar and clover honey and top with boiling water. Stir to dissolve. Once cooled add fresh ginger juice and stir to mix.",Miles,Brooklyn
Caipirinha,"4 pieces Lime, 1-2 Tbsp Sugar, 1 Ypiòca",Cut a lime in 4 pieces and put them in a glass. Add 1-2 tablespoons of sugar and crush with a pestle. Add Ypiòca. Fill with crushed ice. Stir well and enjoy!,,
Bubbly Bird," Pink Pigeon Rum, 1 fill Champagne, Angostura bitters, Peach bitters, Luxardo Fernet",Dash each bitter and the Fernet over sugar cube in base of Champagne glass so that the sugar is fully saturated with mixture. Add Pink Pigeon Rum and top with chilled Champagne. Garnish with a twist of lemon.,,
Framboise de Pigeon," Pink Pigeon Rum,  Briottet Creme de Framboise (Raspberry),  Lemon juice,  Simple syrup*",Double strain into a martini glass.,,New York
Far From the Tree," C. Drouin Calvados Selection,  Orgeat,  Lemon Juice, Pear & Celery Puree, .5  Egg white","Dry Shake (no ice), Wet Shake (with ice) & Double Strain.",Dirty Habit,San Francisco
Luxardo Sour," Luxardo Amaretto di Saschira, Rye Whiskey, Lemon Juice,  Angostura Bitters, 1  Egg White",Dry shake all ingredients for 20-30 seconds. Then shake with ice. Double strain over fresh ice in an old fashioned glass. Garnish with wide lemon swath.,Artusi,Seattle
The Molino," Bourbon,  Luxardo Amaretto di Saschira,  Demerara Syrup (1:1),  Lemon Juice, 1  Egg White",Dry shake all ingredients. Hard shake with ice. Double strain into small pilsner glass. Garnish with Luxardo Cherry.,Palizzi Social Club,Philadelphia
The King's Egg Nog," No.3 London Dry Gin,  King's Ginger Liqueur,  English Harbour Rum, 3 spoon Sugar, 1 whole Egg,  Milk,  Cream",Dry shake and then shake with hand cracked ice. Serve in a goblet with grated nutmeg.,,
White Walker Flip," Glenrothes Vintage Reserve, King's Ginger Liqueur,  Green Chartreuse,  Sweetened Apple Cider, Baked Apple Bitters, 1 whole Egg",Dry shake whole egg until emulsified. Then add Kold Draft ice and all ingredients except bitters and shake vigorously until cold. Strain into chilled royal coupette and garnish with apple wheels.,,
Hibiscus Pisco Sour," BarSol Primero Quebranta Pisco,  Lime juice,  Hibiscus/rose syrup, 1  Egg white","Dry shake, add ice and shake again. Strain into a coupe glass.",Saxon & Parole,New York
Lux Japanese Lemonade," No.3 London Dry Gin,  Jummai Ginjo Sake,  Luxardo Limoncello,  Dill Cordial,  Meyer Lemon Juice,  Yuzu Juice,  Fresh egg White","Dry Shake, add ice and shake for 10 seconds. Double strain into a Copita Glass. Garnish with Dill.",Michael Mina Restaurant Group,San Francisco
Flip and Flight," Pink Pigeon Rum, Dry Oloroso Sherry, Grenadine, 1 whole Egg,   Vanilla-Salt Spray","Dry shake, shake with cubed ice, double strain into chilled glass coated in vanilla-salt solution.",,United Kingdom
Dry Mauritian Sour," Pink Pigeon Rum, Campari, Lavender syrup, Lemon juice , Orange juice, Egg white","Dry shake, shake with cubed ice, double strain into chilled glass.",,United Kingdom
Platonic Snuggle," H by HINE,  El Dorado 12 Year Old Rum,  Hamilton Black Jamaican Pot Still Rum,  Cinnamon Syrup,  Heavy Cream, St. Elizabeth Allspice Dram, 1 whole Egg,  top Founders Porter","Dry shake, strain, top with porter.",Nitecap,
The Brightside," Pink Pigeon Rum, Fresh orange juice, 1 Tbsp Luxardo Bitter, Milk powder (or cream)","Dry shake, then serve old-fashioned glass with crushed ice. Drizzle Bitter on top to finish.",,
The King's Froth & Frizz," BarSol Selecto Italia Pisco, King's Ginger Liqueur,  Peach Brandy,  Lemon juice,  Egg white","Dry shake, then shake with ice. Double strain into flute or sour glass. Top with a Saison.  Zest orange over top and garnish with a star anise. ",,San Francisco
The Queen's A Redhead," King's Ginger Liqueur, 4  Pink Peppercorns, Fresh lemon juice, Gomme syrup, Egg white","Dry shake, then shake with ice. Double strain over cubed ice.",,United Kingdom
Delicious Sour," C. Drouin Calvados Selection,  Lemon Juice,  Giffard Abricot du Roussillon,  Egg White","Dry shake. Add ice, shake. Double strain into a frozen coupe glass. Garnish with lemon twist or dehydrated apple slice.",The Forgery,San Francisco
Jalapeño Sour," Chinaco Blanco Tequila,  Green Chartreuse,  Lime juice, Pineapple juice,  Jalapeño Syrup,  Egg White",dryshake/shake/dblrocks  garnish jalapeño slice,,
Hanny's Hot Apple Toddy," Luxardo Amaretto di Saschira, Apple Cider,  oz Heavy Cream,  oz Cinnamon","Fill a 10-oz mug with boiling water. When the mug is hot, pour out the water and add the amaretto and cider. Top with a layer of cream. Grate fresh cinnamon on top as a garnish.",,
The Alpine Mist," Mezcal, Reed's Premium Ginger Brew, Seedless Blackberry Jam, 1  Lime, juiced, 12  Mint Leaves, muddled",Fill a cocktail shaker with ice. Add all ingredients except the garnish and shake well. Stain into a very chilled martini glass (martini glass should have a sugar rim on half of the glass) and top with a splash of ginger beer. Garnish with a mint leaf and orange peel. Right before serving drop in a chip of dry ice for the mist.,,
Division Bell," Mezcal,  Aperol,  Luxardo Maraschino Liqueur,  Lime Juice",Fill a cocktail shaker with ice. Add ingredients and shake well. Strain into a chilled coupe or martini glass and garnish with the grapefruit twist.,,
Golden Gun," Blended Lightly Aged Rum, Blended Aged Rum,  Lime Juice,  Luxardo Apricot Liqueur,  SC Demerara Syrup*,  Grapefruit Juice, Angostura Bitters","Fill a collins or highball glass with cracked or cubed ice. Add all the ingredients to a cocktail shaker filled with cracked or cubed ice. Shake and strain into the glass.  *SC Demerara Syrup: -- 2 C Water -- 1 C Demerara Sugar -- 3 C Granulated Sugar  Bring water to boil in a saucepan over high heat. Add the demerara sugar and stir vigorously with a whisk (or use an immersion blender) until sugar is dissolved, about 1 minute (the water should become clear). Add granulated sugar and stir vigorously until dissolved, about 1 minute. Remove from heat and let cool.",,
Grown-Up Shirley Temple," Luxardo Cherry Syrup (from jar of cherries),  Fresh Lemon Juice (optional), Soda Water","Fill a highball glass with ice, and build the syrup, lemon juice, and soda water. Stir, and garnish with a Luxardo Maraschino Cherry.",Gastronomista.com,
